tmin,tmax,erd_score,mu_erd,beta_erd,sfreq,motor_channels,quality_score,direction,filename,subject,method,pattern,iteration,label,file_path,n_channels,duration,segment_path
0.5,3.5,15.541302990383041,4.895245555639906,26.187360425126176,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_move_RL_straight_2.edf,pradeep,move,straight,2,0,data\raw\pradeep_move_RL_straight_2.edf,22,5.996,data\processed\pradeep_move_RL_straight_2_segment.npy
3.75,6.75,4.850679927954317,5.184615338517956,4.516744517390678,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_move_RL_upper_1.edf,pradeep,move,upper,1,0,data\raw\pradeep_move_RL_upper_1.edf,22,6.996,data\processed\pradeep_move_RL_upper_1_segment.npy
3.25,6.25,-16.490147196655727,-23.420772537330993,-9.559521855980456,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_move_RL_upper_2.edf,pradeep,move,upper,2,0,data\raw\pradeep_move_RL_upper_2.edf,22,7.996,data\processed\pradeep_move_RL_upper_2_segment.npy
1.25,4.25,-1.7920095423155615,-4.747941244491921,1.1639221598607978,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_watch_LR_lower_1.edf,pradeep,watch,lower,1,1,data\raw\pradeep_watch_LR_lower_1.edf,22,6.996,data\processed\pradeep_watch_LR_lower_1_segment.npy
3.5,6.5,46.002826462244634,32.832433780715434,59.173219143773835,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_watch_LR_lower_2.edf,pradeep,watch,lower,2,1,data\raw\pradeep_watch_LR_lower_2.edf,22,6.996,data\processed\pradeep_watch_LR_lower_2_segment.npy
1.0,4.0,44.08147157950506,59.387014677463334,28.775928481546792,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_watch_LR_straight_1.edf,pradeep,watch,straight,1,1,data\raw\pradeep_watch_LR_straight_1.edf,22,4.996,data\processed\pradeep_watch_LR_straight_1_segment.npy
0.5,3.5,37.067872907473195,46.846409710767304,27.289336104179085,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_watch_LR_straight_2.edf,pradeep,watch,straight,2,1,data\raw\pradeep_watch_LR_straight_2.edf,22,4.996,data\processed\pradeep_watch_LR_straight_2_segment.npy
3.25,6.25,-1.6960572869584305,0.5603949927214054,-3.9525095666382666,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_watch_LR_upper_1.edf,pradeep,watch,upper,1,1,data\raw\pradeep_watch_LR_upper_1.edf,22,6.996,data\processed\pradeep_watch_LR_upper_1_segment.npy
2.5,5.5,-3.497213171247643,-5.759751217325104,-1.2346751251701817,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_watch_LR_upper_2.edf,pradeep,watch,upper,2,1,data\raw\pradeep_watch_LR_upper_2.edf,22,5.996,data\processed\pradeep_watch_LR_upper_2_segment.npy
1.25,4.25,-6.859193519105224,-5.332632046611376,-8.385754991599072,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_watch_RL_lower_1.edf,pradeep,watch,lower,1,0,data\raw\pradeep_watch_RL_lower_1.edf,22,5.996,data\processed\pradeep_watch_RL_lower_1_segment.npy
3.75,6.75,51.747828511922926,65.2295664350744,38.26609058877145,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_watch_RL_lower_2.edf,pradeep,watch,lower,2,0,data\raw\pradeep_watch_RL_lower_2.edf,22,6.996,data\processed\pradeep_watch_RL_lower_2_segment.npy
1.75,4.75,43.959803664258324,44.101872779337796,43.81773454917885,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_watch_RL_straight_1.edf,pradeep,watch,straight,1,0,data\raw\pradeep_watch_RL_straight_1.edf,22,4.996,data\processed\pradeep_watch_RL_straight_1_segment.npy
2.75,5.75,11.813904190301384,17.45218472600746,6.1756236545953085,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_watch_RL_straight_2.edf,pradeep,watch,straight,2,0,data\raw\pradeep_watch_RL_straight_2.edf,22,5.996,data\processed\pradeep_watch_RL_straight_2_segment.npy
1.75,4.75,5.971564341677642,14.20656398221266,-2.2634352988573774,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_watch_RL_upper_1.edf,pradeep,watch,upper,1,0,data\raw\pradeep_watch_RL_upper_1.edf,22,4.996,data\processed\pradeep_watch_RL_upper_1_segment.npy
2.5,5.5,59.69244337115059,74.64381472260658,44.74107201969459,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_watch_RL_upper_2.edf,pradeep,watch,upper,2,0,data\raw\pradeep_watch_RL_upper_2.edf,22,5.996,data\processed\pradeep_watch_RL_upper_2_segment.npy
1.75,4.75,-158.56003478118063,-105.6806333335167,-211.43943622884458,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_lower_1.edf,rohith,move,lower,1,1,data\raw\rohith_move_LR_lower_1.edf,22,4.996,data\processed\rohith_move_LR_lower_1_segment.npy
3.75,6.75,24.11221360775817,18.698094683040818,29.526332532475525,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_lower_2.edf,rohith,move,lower,2,1,data\raw\rohith_move_LR_lower_2.edf,22,6.996,data\processed\rohith_move_LR_lower_2_segment.npy
4.25,7.25,38.74873292061465,57.26851048326884,20.228955357960455,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_lower_3.edf,rohith,move,lower,3,1,data\raw\rohith_move_LR_lower_3.edf,22,7.996,data\processed\rohith_move_LR_lower_3_segment.npy
0.75,3.75,49.44692073342802,30.23910980725893,68.65473165959712,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_straight_1.edf,rohith,move,straight,1,1,data\raw\rohith_move_LR_straight_1.edf,22,3.996,data\processed\rohith_move_LR_straight_1_segment.npy
1.5,4.5,-55.16546492716123,-81.1387721543699,-29.192157699952563,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_straight_2.edf,rohith,move,straight,2,1,data\raw\rohith_move_LR_straight_2.edf,22,5.996,data\processed\rohith_move_LR_straight_2_segment.npy
3.25,6.25,-0.15867680310329835,-7.344615063907073,7.027261457700476,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_straight_3.edf,rohith,move,straight,3,1,data\raw\rohith_move_LR_straight_3.edf,22,6.996,data\processed\rohith_move_LR_straight_3_segment.npy
0.75,3.75,-30.888020751551537,-2.5403764405861584,-59.235665062516915,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_upper_1.edf,rohith,move,upper,1,1,data\raw\rohith_move_LR_upper_1.edf,22,3.996,data\processed\rohith_move_LR_upper_1_segment.npy
2.25,5.25,2.204820912434297,-14.648913138564229,19.058554963432822,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_upper_2.edf,rohith,move,upper,2,1,data\raw\rohith_move_LR_upper_2.edf,22,6.996,data\processed\rohith_move_LR_upper_2_segment.npy
1.5,4.5,55.93372231005704,51.5817256488996,60.285718971214486,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_move_LR_upper_3.edf,rohith,move,upper,3,1,data\raw\rohith_move_LR_upper_3.edf,22,6.996,data\processed\rohith_move_LR_upper_3_segment.npy
0.75,3.75,17.224656020837195,12.595656883136677,21.853655158537713,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_lower_1.edf,rohith,move,lower,1,0,data\raw\rohith_move_RL_lower_1.edf,22,3.996,data\processed\rohith_move_RL_lower_1_segment.npy
0.5,3.5,4.370328837856711,43.86591099054348,-35.12525331483006,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_lower_2.edf,rohith,move,lower,2,0,data\raw\rohith_move_RL_lower_2.edf,22,7.996,data\processed\rohith_move_RL_lower_2_segment.npy
1.0,4.0,0.2854377890406976,32.16300377964117,-31.592128201559778,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_lower_3.edf,rohith,move,lower,3,0,data\raw\rohith_move_RL_lower_3.edf,22,7.996,data\processed\rohith_move_RL_lower_3_segment.npy
0.0,2.996,0.0,0.0,0.0,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_straight_1.edf,rohith,move,straight,1,0,data\raw\rohith_move_RL_straight_1.edf,22,2.996,data\processed\rohith_move_RL_straight_1_segment.npy
1.75,4.75,-47.791447133905564,-117.24072007785644,21.657825810045303,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_straight_2.edf,rohith,move,straight,2,0,data\raw\rohith_move_RL_straight_2.edf,22,4.996,data\processed\rohith_move_RL_straight_2_segment.npy
2.0,5.0,48.53676322057488,52.30647904782386,44.76704739332591,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_straight_3.edf,rohith,move,straight,3,0,data\raw\rohith_move_RL_straight_3.edf,22,5.996,data\processed\rohith_move_RL_straight_3_segment.npy
0.75,3.75,23.20650342746415,17.824567996036095,28.5884388588922,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_upper_1.edf,rohith,move,upper,1,0,data\raw\rohith_move_RL_upper_1.edf,22,3.996,data\processed\rohith_move_RL_upper_1_segment.npy
0.5,3.5,-24.246805303956165,37.08537889676529,-85.57898950467762,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_upper_2.edf,rohith,move,upper,2,0,data\raw\rohith_move_RL_upper_2.edf,22,7.996,data\processed\rohith_move_RL_upper_2_segment.npy
1.25,4.25,37.09064168932859,70.29049672678582,3.8907866518713705,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,rohith_move_RL_upper_3.edf,rohith,move,upper,3,0,data\raw\rohith_move_RL_upper_3.edf,22,6.996,data\processed\rohith_move_RL_upper_3_segment.npy
3.75,6.75,35.96793410749823,50.31514426638742,21.620723948609037,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_watch_LR_lower_1.edf,rohith,watch,lower,1,1,data\raw\rohith_watch_LR_lower_1.edf,22,6.996,data\processed\rohith_watch_LR_lower_1_segment.npy
0.5,3.5,11.642025824839237,17.411159295219502,5.872892354458974,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,rohith_watch_LR_lower_2.edf,rohith,watch,lower,2,1,data\raw\rohith_watch_LR_lower_2.edf,22,6.996,data\processed\rohith_watch_LR_lower_2_segment.npy
